YEAR,AvgCostWithFeesRes,AvgCostWithFeesNonRes,AvgCostWithFeesResINFADJ,AvgCostWithFeesNonResINFADJ
1954-55,$160.00,$320.00,"$1,385.62","$2,771.24"
1955-56,$160.00,$320.00,"$1,390.79","$2,781.58"
1956-57,$180.00,$360.00,"$1,541.63","$3,083.25"
1957-58,$240.00,$480.00,"$1,989.67","$3,979.34"
1958-59,$240.00,$480.00,"$1,934.59","$3,869.18"
1959-60,$240.00,$480.00,"$1,921.29","$3,842.59"
1960-61,$240.00,$480.00,"$1,888.84","$3,777.68"
1961-62,$264.00,$504.00,"$2,056.88","$3,926.77"
1962-63,$264.00,$504.00,"$2,036.45","$3,887.76"
1963-64,$264.00,$504.00,"$2,009.83","$3,836.94"
1964-65,$264.00,$600.00,"$1,983.89","$4,508.85"
1965-66,$334.00,$860.00,"$2,470.08","$6,360.10"
1966-67,$334.00,$860.00,"$2,401.47","$6,183.43"
1967-68,$433.00,$933.00,"$3,020.07","$6,507.45"
1968-69,$433.00,$933.00,"$2,898.57","$6,245.66"
1969-70,$458.00,$958.00,"$2,907.20","$6,081.00"
1970-71,$458.00,$958.00,"$2,749.85","$5,751.88"
1971-72,$535.00,"$1,261.00","$3,077.33","$7,253.30"
1972-73,$535.00,"$1,261.00","$2,981.63","$7,027.72"
1973-74,$643.00,"$1,551.00","$3,373.68","$8,137.75"
1974-75,$663.00,"$1,571.00","$3,132.87","$7,423.44"
1975-76,$663.00,"$1,571.00","$2,870.83","$6,802.52"
1976-77,$726.00,"$1,746.00","$2,972.35","$7,148.38"
1977-78,$763.00,"$1,843.00","$2,933.11","$7,084.81"
1978-79,$808.00,"$1,963.00","$2,886.95","$7,013.72"
1979-80,$858.00,"$2,088.00","$2,753.13","$6,699.92"
1980-81,$940.00,"$2,305.00","$2,657.52","$6,516.58"
1981-82,"$1,029.00","$2,529.00","$2,637.10","$6,481.28"
1982 fall,"$1,128.00","$2,778.00","$2,723.06","$6,706.26"
1983 spr,"$1,224.00","$3,039.00","$2,862.85","$7,108.00"
1983-84,"$1,211.00","$2,981.00","$2,832.44","$6,972.34"
1984-85,"$1,331.00","$3,281.00","$2,984.27","$7,356.42"
1985-86,"$1,513.00","$3,771.00","$3,275.69","$8,164.32"
1986-87,"$1,524.00","$3,782.00","$3,239.29","$8,038.72"
1987-88,"$1,565.00","$3,867.00","$3,209.31","$7,929.97"
1988-89,"$1,703.00","$4,201.00","$3,353.56","$8,272.63"
1989-90,"$1,810.00","$4,435.00","$3,400.42","$8,331.97"
1990-91,"$1,915.00","$4,675.00","$3,413.26","$8,332.62"
1991-92,"$2,040.00","$4,995.00","$3,489.22","$8,543.47"
1992-93,"$2,207.00","$5,387.00","$3,664.55","$8,944.69"
1993-94,"$2,303.00","$5,648.00","$3,712.80","$9,105.47"
1994-95,"$2,435.00","$5,975.00","$3,827.60","$9,392.16"
1995-96,"$2,575.00","$6,332.00","$3,936.12","$9,679.03"
1996-97,"$2,658.00","$6,528.00","$3,946.46","$9,692.44"
1997-98,"$2,849.00","$6,892.00","$4,135.17","$10,003.36"
1998-99,"$3,103.00","$7,370.00","$4,434.76","$10,533.09"
1999-00,"$3,308.00","$7,815.00","$4,625.58","$10,927.72"
2000-01,"$3,480.00","$8,235.00","$4,707.84","$11,140.54"
2001-02,"$3,790.00","$9,392.00","$4,985.36","$12,354.22"
2002-03,"$4,125.00","$10,718.00","$5,341.57","$13,879.01"
2003-04,"$4,771.00","$12,353.00","$6,040.42","$15,639.77"
2004-05,"$5,268.00","$13,758.00","$6,496.65","$16,966.77"
2005-06,"$5,540.00","$14,450.00","$6,608.20","$17,236.19"
2006-07,"$5,867.00","$15,317.00","$6,779.56","$17,699.42"
2007-08,"$6,216.00","$16,236.00","$6,983.92","$18,241.79"
2008-09,"$6,584.00","$17,204.00","$7,123.86","$18,614.66"
2009-10,"$6,857.00","$17,897.00","$7,445.74","$19,433.62"
2010-11,"$7,224.00","$18,924.00","$7,717.66","$20,217.18"
2011-12,"$7,562.00","$19,847.00","$7,831.55","$20,554.45"
2012-13,"$7,897.00","$20,647.00","$8,012.67","$20,949.43"
2013-14,"$7,975.00","$21,302.00","$7,975.00","$21,302.00"
