STNAME,CTYNAME,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013
Alabama,Autauga County,54613,55278,55265,55246
Alabama,Baldwin County,183223,186727,190675,195540
Alabama,Barbour County,27341,27301,27232,27076
Alabama,Bibb County,22883,22770,22662,22512
Alabama,Blount County,57352,57742,57807,57872
Alabama,Bullock County,10881,10618,10605,10639
Alabama,Butler County,20944,20662,20384,20265
Alabama,Calhoun County,118448,117769,117253,116736
Alabama,Chambers County,34110,33995,34074,34162
Alabama,Cherokee County,25968,26088,26056,26203
Alabama,Chilton County,43700,43786,43800,43951
Alabama,Choctaw County,13849,13598,13585,13426
Alabama,Clarke County,25786,25615,25220,25207
Alabama,Clay County,13886,13678,13458,13486
Alabama,Cleburne County,14969,14960,14885,14994
Alabama,Coffee County,50182,50503,51276,50938
Alabama,Colbert County,54506,54406,54424,54520
Alabama,Conecuh County,13218,13130,13009,12887
Alabama,Coosa County,11563,11117,11000,10898
Alabama,Covington County,37790,38053,37856,37886
Alabama,Crenshaw County,13867,13915,13981,13986
Alabama,Cullman County,80449,80477,80409,80811
Alabama,Dale County,50341,50085,50348,49884
Alabama,Dallas County,43840,43167,42692,41996
Alabama,DeKalb County,71106,71422,70977,71013
Alabama,Elmore County,79512,80010,80417,80902
Alabama,Escambia County,38314,38230,38070,37983
Alabama,Etowah County,104498,104323,104311,103931
Alabama,Fayette County,17250,17074,17005,16909
Alabama,Franklin County,31757,31765,31685,31532
Alabama,Geneva County,26793,26815,26969,26727
Alabama,Greene County,8991,8905,8848,8744
Alabama,Hale County,15732,15389,15420,15406
Alabama,Henry County,17290,17424,17285,17296
Alabama,Houston County,101793,102371,103298,103668
Alabama,Jackson County,53159,53235,53048,52951
Alabama,Jefferson County,658514,657998,658327,659479
Alabama,Lamar County,14499,14292,14265,14236
Alabama,Lauderdale County,92723,92601,92682,92797
Alabama,Lawrence County,34309,34055,33777,33587
Alabama,Lee County,140850,143869,147808,150933
Alabama,Limestone County,83227,85537,87384,88845
Alabama,Lowndes County,11278,11116,10846,10703
Alabama,Macon County,21541,21215,20383,19688
Alabama,Madison County,336204,339681,342762,346892
Alabama,Marengo County,20941,20689,20389,20155
Alabama,Marion County,30814,30741,30538,30334
Alabama,Marshall County,93188,93921,94413,94760
Alabama,Mobile County,413290,412989,413590,414079
Alabama,Monroe County,23004,22803,22629,22236
Alabama,Montgomery County,229805,231535,229293,226659
Alabama,Morgan County,119553,119916,120157,119787
Alabama,Perry County,10534,10513,10194,10020
Alabama,Pickens County,19703,19333,19331,19401
Alabama,Pike County,32958,32913,33113,33339
Alabama,Randolph County,22931,22855,22720,22727
Alabama,Russell County,53246,55008,57721,59585
Alabama,St. Clair County,83811,84309,85167,86308
Alabama,Shelby County,195844,198117,200983,204180
Alabama,Sumter County,13747,13499,13407,13361
Alabama,Talladega County,82039,81748,81666,81096
Alabama,Tallapoosa County,41490,41460,41157,41203
Alabama,Tuscaloosa County,195039,196772,198694,200821
Alabama,Walker County,66992,66603,66169,65998
Alabama,Washington County,17599,17336,17115,16877
Alabama,Wilcox County,11582,11490,11406,11307
Alabama,Winston County,24411,24310,24153,24146
Alaska,Aleutians East Borough,3158,3183,3139,3092
Alaska,Aleutians West Census Area,5543,5541,5560,5511
Alaska,Anchorage Municipality,293357,295907,298294,300950
Alaska,Bethel Census Area,17068,17441,17653,17758
Alaska,Bristol Bay Borough,1002,1036,987,960
Alaska,Denali Borough,1828,1833,1860,1867
Alaska,Dillingham Census Area,4868,4974,4986,5010
Alaska,Fairbanks North Star Borough,98190,99276,100141,100436
Alaska,Haines Borough,2510,2563,2580,2592
Alaska,Hoonah-Angoon Census Area,2150,2124,2141,2145
Alaska,Juneau City and Borough,31385,32144,32441,32660
Alaska,Kenai Peninsula Borough,55582,56405,56884,57147
Alaska,Ketchikan Gateway Borough,13542,13669,13742,13729
Alaska,Kodiak Island Borough,13622,13869,14118,14135
Alaska,Lake and Peninsula Borough,1635,1650,1632,1648
Alaska,Matanuska-Susitna Borough,89787,91886,93845,95192
Alaska,Nome Census Area,9543,9868,9857,9892
Alaska,North Slope Borough,9465,9531,9634,9686
Alaska,Northwest Arctic Borough,7531,7711,7724,7685
Alaska,Petersburg Census Area,3822,3838,3827,3774
Alaska,Prince of Wales-Hyder Census Area,5595,5757,5756,5786
Alaska,Sitka City and Borough,8898,8920,9044,9020
Alaska,Skagway Municipality,965,957,988,995
Alaska,Southeast Fairbanks Census Area,7050,7107,7138,6985
Alaska,Valdez-Cordova Census Area,9683,9745,9728,9763
Alaska,Wade Hampton Census Area,7474,7664,7804,7977
Alaska,Wrangell City and Borough,2365,2376,2391,2400
Alaska,Yakutat City and Borough,660,656,658,642
Alaska,Yukon-Koyukuk Census Area,5590,5744,5755,5695
Arizona,Apache County,71749,72349,72852,71934
Arizona,Cochise County,131412,132488,131735,129473
Arizona,Coconino County,133929,134166,135862,136539
Arizona,Gila County,53514,53478,53071,53053
Arizona,Graham County,36804,37002,37026,37482
Arizona,Greenlee County,8344,8594,8775,9049
Arizona,La Paz County,20458,20449,20294,20324
Arizona,Maricopa County,3823019,3868981,3940612,4009412
Arizona,Mohave County,200134,202399,203142,203030
Arizona,Navajo County,107627,107232,106878,107322
Arizona,Pima County,982018,987910,992395,996554
Arizona,Pinal County,385751,383690,387020,389350
Arizona,Santa Cruz County,47264,47341,47224,46768
Arizona,Yavapai County,210137,210867,212530,215133
Arizona,Yuma County,196630,201850,201733,201201
Arkansas,Arkansas County,19012,18890,18970,18777
Arkansas,Ashley County,21835,21663,21526,21283
Arkansas,Baxter County,41554,41276,41055,40957
