DayOfWeek,Date,High,Low,AvgHigh,AvgLow
Thursday ,2015-01-01,35,8,35,14
Friday ,2015-01-02,33,11,35,14
Saturday ,2015-01-03,38,9,35,14
Sunday ,2015-01-04,11,0,35,14
Monday ,2015-01-05,26,6,35,14
Tuesday ,2015-01-06,21,7,35,14
Wednesday ,2015-01-07,11,-3,35,14
Thursday ,2015-01-08,35,3,35,14
Friday ,2015-01-09,19,4,35,14
Saturday ,2015-01-10,42,2,35,14
Sunday ,2015-01-11,37,9,35,14
Monday ,2015-01-12,20,-2,35,14
Tuesday ,2015-01-13,25,-4,35,14
Wednesday ,2015-01-14,40,16,35,14
Thursday ,2015-01-15,49,16,35,14
Friday ,2015-01-16,59,20,35,14
Saturday ,2015-01-17,53,37,35,14
Sunday ,2015-01-18,58,22,35,14
Monday ,2015-01-19,60,22,35,14
Tuesday ,2015-01-20,52,27,35,14
Wednesday ,2015-01-21,47,23,36,14
Thursday ,2015-01-22,39,21,36,14
Friday ,2015-01-23,49,18,36,14
Saturday ,2015-01-24,57,27,36,14
Sunday ,2015-01-25,46,30,36,14
Monday ,2015-01-26,62,28,36,14
Tuesday ,2015-01-27,59,21,36,14
Wednesday ,2015-01-28,64,31,36,14
Thursday ,2015-01-29,43,19,36,14
Friday ,2015-01-30,42,11,36,14
Saturday ,2015-01-31,39,32,36,14
Sunday ,2015-02-01,32,3,37,15
Monday ,2015-02-02,19,-7,37,15
Tuesday ,2015-02-03,38,7,37,15
Wednesday ,2015-02-04,24,-13,37,15
Thursday ,2015-02-05,26,-16,37,15
Friday ,2015-02-06,43,22,38,16
Saturday ,2015-02-07,53,24,38,16
Sunday ,2015-02-08,57,35,38,16
Monday ,2015-02-09,37,32,38,16
Tuesday ,2015-02-10,41,29,38,16
Wednesday ,2015-02-11,39,21,39,17
Thursday ,2015-02-12,23,7,39,17
Friday ,2015-02-13,53,16,39,17
Saturday ,2015-02-14,37,15,40,18
Sunday ,2015-02-15,19,12,40,18
Monday ,2015-02-16,38,17,40,18
Tuesday ,2015-02-17,28,12,41,19
Wednesday ,2015-02-18,20,2,41,19
Thursday ,2015-02-19,23,0,41,19
Friday ,2015-02-20,43,11,42,20
Saturday ,2015-02-21,40,18,42,20
Sunday ,2015-02-22,21,3,42,20
Monday ,2015-02-23,27,-5,43,21
Tuesday ,2015-02-24,50,18,43,21
Wednesday ,2015-02-25,46,11,44,21
Thursday ,2015-02-26,16,-1,44,22
Friday ,2015-02-27,21,-6,45,22
